epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7459,0.48001,2.16376,1.20995,0.53538,0.7086,0.65034,0.61428,0.38221,1.86267,0.67201,0.00331313,0.00331313,0.00331313
2,122.134,0.24494,1.01224,0.98477,0.70777,0.80856,0.88665,0.82327,0.44273,1.45701,0.72186,0.00658066,0.00658066,0.00658066
3,169.416,0.27462,0.82229,0.99127,0.65861,0.49541,0.38448,0.34448,0.40857,3.57638,0.88888,0.0097822,0.0097822,0.0097822
4,222.799,0.26873,0.71675,0.98809,0.70524,0.83002,0.86405,0.83158,0.36225,1.15574,0.60241,0.009703,0.009703,0.009703
5,282.023,0.24057,0.60341,0.96947,0.72567,0.77765,0.85154,0.8324,0.34403,0.8556,0.52774,0.009604,0.009604,0.009604
6,335.577,0.211,0.55072,0.94904,0.80289,0.81464,0.91781,0.86484,0.40333,0.82434,0.66689,0.009505,0.009505,0.009505
7,385.606,0.19287,0.51625,0.94507,0.71413,0.72693,0.83276,0.77439,0.35847,1.2893,0.55182,0.009406,0.009406,0.009406
8,441.637,0.18501,0.49311,0.94667,0.75233,0.56407,0.73776,0.7043,0.33183,1.55907,0.53192,0.009307,0.009307,0.009307
9,500.276,0.17109,0.46991,0.93414,0.80734,0.71007,0.89868,0.86713,0.26037,0.89437,0.4486,0.009208,0.009208,0.009208
10,547.635,0.1638,0.46565,0.93482,0.79635,0.8383,0.95783,0.93756,0.25531,0.91339,0.43824,0.009109,0.009109,0.009109
11,601.176,0.15391,0.42728,0.92593,0.95051,0.93554,0.98561,0.97953,0.26146,0.38332,0.44343,0.00901,0.00901,0.00901
12,660.66,0.15071,0.43069,0.92416,0.93341,0.92911,0.97732,0.96949,0.24533,0.38415,0.41682,0.008911,0.008911,0.008911
13,713.744,0.1481,0.42517,0.92941,0.83302,0.89496,0.96607,0.96373,0.22922,0.54258,0.40243,0.008812,0.008812,0.008812
14,764.063,0.14373,0.40261,0.92093,0.92312,0.945,0.97645,0.97534,0.2075,0.34057,0.35591,0.008713,0.008713,0.008713
