epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3329,2.54317,5.33347,2.09545,0.5299,0.17008,0.17213,0.07074,1.79491,3.33174,1.81585,0.00331313,0.00331313,0.00331313
2,117.254,1.81341,3.07889,1.54632,0.21148,0.23144,0.16711,0.06537,1.67736,2.74938,1.71531,0.00658066,0.00658066,0.00658066
3,177.824,1.77679,2.46697,1.54055,0.14502,0.23373,0.14376,0.04632,2.16406,3.78669,2.17372,0.0097822,0.0097822,0.0097822
4,229.167,1.76358,2.21676,1.53714,0.18899,0.18407,0.17113,0.07457,1.77829,3.35852,1.87575,0.009703,0.009703,0.009703
5,282.081,1.65942,1.95978,1.46366,0.40253,0.43074,0.38967,0.15526,1.60773,2.27231,1.59239,0.009604,0.009604,0.009604
6,339.804,1.61189,1.85247,1.44035,0.63867,0.5326,0.59872,0.28296,1.45732,1.83574,1.60374,0.009505,0.009505,0.009505
7,397.139,1.56246,1.71535,1.42088,0.51689,0.38251,0.37807,0.19002,1.38952,2.58744,1.55194,0.009406,0.009406,0.009406
8,445.569,1.53481,1.64414,1.39722,0.88597,0.78754,0.88104,0.51628,1.34872,1.34064,1.56475,0.009307,0.009307,0.009307
9,499.875,1.4818,1.54457,1.36944,0.76639,0.75648,0.7979,0.44948,1.33588,1.39209,1.51006,0.009208,0.009208,0.009208
10,559.132,1.47487,1.49074,1.37244,0.93691,0.81188,0.92166,0.67165,1.0239,1.19713,1.36088,0.009109,0.009109,0.009109
11,611.837,1.41296,1.40952,1.32749,0.89341,0.8554,0.93507,0.64048,1.06585,1.01268,1.37536,0.00901,0.00901,0.00901
12,662.492,1.38473,1.36544,1.31542,0.78594,0.82129,0.91121,0.68277,0.91761,1.14466,1.28635,0.008911,0.008911,0.008911
13,719.104,1.37443,1.35726,1.31643,0.89987,0.82123,0.9207,0.68692,0.97987,0.9309,1.35625,0.008812,0.008812,0.008812
14,778.96,1.33006,1.30715,1.28145,0.94901,0.90191,0.96118,0.73079,0.86259,0.75701,1.31315,0.008713,0.008713,0.008713
15,826.061,1.33497,1.30255,1.28759,0.929,0.90419,0.95683,0.67123,1.0693,0.84945,1.43753,0.008614,0.008614,0.008614
16,879.714,1.29662,1.22095,1.25992,0.92039,0.91683,0.95982,0.69981,0.96607,0.73414,1.37655,0.008515,0.008515,0.008515
17,938.684,1.28053,1.20891,1.24646,0.92007,0.93474,0.96725,0.7606,0.78351,0.70651,1.28246,0.008416,0.008416,0.008416
18,991.307,1.26376,1.16078,1.23248,0.95615,0.90665,0.97069,0.77249,0.80192,0.6755,1.29378,0.008317,0.008317,0.008317
19,1041.91,1.24054,1.15492,1.23158,0.93595,0.92984,0.9685,0.73824,0.94474,0.60199,1.36597,0.008218,0.008218,0.008218
20,1099.32,1.21587,1.12911,1.21594,0.95187,0.91822,0.97321,0.7811,0.76987,0.65859,1.25541,0.008119,0.008119,0.008119
21,1158.44,1.22383,1.12121,1.21308,0.92745,0.92162,0.96824,0.79548,0.79682,0.63634,1.29135,0.00802,0.00802,0.00802
22,1205.64,1.20604,1.10119,1.20916,0.96189,0.93849,0.97862,0.78496,0.8141,0.51893,1.29619,0.007921,0.007921,0.007921
23,1259.33,1.19131,1.09594,1.19476,0.92898,0.95674,0.97887,0.79064,0.75442,0.50855,1.25266,0.007822,0.007822,0.007822
24,1318.41,1.17526,1.06923,1.18239,0.95333,0.95508,0.98312,0.72719,1.01209,0.55685,1.39074,0.007723,0.007723,0.007723
25,1371.29,1.1543,1.0435,1.18257,0.94741,0.94477,0.97686,0.82207,0.78387,0.53474,1.29075,0.007624,0.007624,0.007624
26,1421.96,1.16016,1.03745,1.18615,0.9357,0.92961,0.97569,0.81347,0.73546,0.52937,1.24927,0.007525,0.007525,0.007525
27,1478.77,1.13874,0.99276,1.171,0.94166,0.94836,0.97638,0.76742,0.84783,0.5621,1.31763,0.007426,0.007426,0.007426
28,1537.94,1.13805,1.01779,1.1696,0.96615,0.94015,0.98186,0.8014,0.75888,0.47514,1.26463,0.007327,0.007327,0.007327
29,1585.32,1.10112,0.97784,1.14832,0.93231,0.9491,0.97499,0.82006,0.6869,0.50491,1.22818,0.007228,0.007228,0.007228
30,1638.62,1.10876,0.98446,1.15772,0.95875,0.92802,0.9799,0.80599,0.78971,0.484,1.2796,0.007129,0.007129,0.007129
31,1698.56,1.09219,0.98396,1.15238,0.95954,0.95368,0.98253,0.82249,0.72087,0.4827,1.24194,0.00703,0.00703,0.00703
32,1750.66,1.09031,0.9594,1.14605,0.96474,0.95821,0.98437,0.81215,0.73387,0.44767,1.24601,0.006931,0.006931,0.006931
33,1801.46,1.0622,0.94666,1.13066,0.95752,0.94324,0.98243,0.84314,0.6286,0.45347,1.1966,0.006832,0.006832,0.006832
34,1858.19,1.05612,0.92561,1.12516,0.94886,0.9508,0.97796,0.8128,0.72123,0.46524,1.23436,0.006733,0.006733,0.006733
35,1916.39,1.06828,0.91108,1.13333,0.96025,0.94541,0.9812,0.84408,0.61902,0.42545,1.21236,0.006634,0.006634,0.006634
36,1964.71,1.03276,0.90737,1.11394,0.95708,0.96882,0.98669,0.83426,0.69299,0.40346,1.22263,0.006535,0.006535,0.006535
37,2018.92,1.04202,0.912,1.11947,0.95546,0.96749,0.98295,0.82757,0.6568,0.43875,1.21403,0.006436,0.006436,0.006436
38,2078.06,1.03657,0.89977,1.11801,0.96248,0.9563,0.98287,0.85617,0.58502,0.39181,1.18068,0.006337,0.006337,0.006337
39,2127.19,1.02921,0.88066,1.1197,0.9628,0.96842,0.98666,0.85493,0.62429,0.38936,1.19519,0.006238,0.006238,0.006238
40,2180.73,1.00592,0.8759,1.10558,0.9665,0.95284,0.98504,0.85587,0.59873,0.40153,1.18458,0.006139,0.006139,0.006139
41,2239.79,1.00147,0.86401,1.10078,0.96564,0.96308,0.98431,0.82412,0.70186,0.44632,1.2258,0.00604,0.00604,0.00604
42,2292.57,1.00232,0.86163,1.10598,0.96252,0.95833,0.98703,0.88073,0.52955,0.3805,1.16136,0.005941,0.005941,0.005941
43,2342.88,0.99822,0.87436,1.10101,0.97387,0.9567,0.98572,0.84889,0.62996,0.40775,1.19636,0.005842,0.005842,0.005842
44,2399.28,1.00648,0.8817,1.10989,0.96819,0.9653,0.9866,0.85218,0.61641,0.39012,1.18143,0.005743,0.005743,0.005743
45,2450.87,0.96865,0.82205,1.08637,0.96069,0.96336,0.98592,0.85202,0.64471,0.38224,1.19939,0.005644,0.005644,0.005644
46,2481.03,0.99334,0.8377,1.09711,0.96012,0.96624,0.98491,0.83892,0.66467,0.38055,1.22499,0.005545,0.005545,0.005545
47,2512.92,0.98333,0.83865,1.08503,0.96072,0.96244,0.98486,0.87972,0.53575,0.3696,1.16226,0.005446,0.005446,0.005446
48,2542.42,0.97212,0.82194,1.08904,0.97081,0.96498,0.98723,0.83498,0.66928,0.39152,1.20472,0.005347,0.005347,0.005347
49,2572.29,0.96176,0.83153,1.07501,0.96054,0.96799,0.98659,0.851,0.61041,0.40334,1.18428,0.005248,0.005248,0.005248
50,2602.06,0.96546,0.81454,1.08829,0.96869,0.97039,0.98658,0.86271,0.56681,0.37075,1.17078,0.005149,0.005149,0.005149
51,2632.02,0.95589,0.80001,1.07574,0.97048,0.96713,0.98723,0.88068,0.51191,0.35698,1.14847,0.00505,0.00505,0.00505
52,2661.73,0.95323,0.7957,1.07223,0.97405,0.96573,0.98909,0.87791,0.54406,0.34835,1.16003,0.004951,0.004951,0.004951
53,2691.44,0.93504,0.77169,1.06169,0.97877,0.96038,0.98657,0.86995,0.57896,0.34733,1.17552,0.004852,0.004852,0.004852
54,2721.11,0.94697,0.78344,1.07108,0.97292,0.97048,0.98827,0.87679,0.53291,0.33238,1.15778,0.004753,0.004753,0.004753
55,2750.74,0.92669,0.76461,1.05857,0.97919,0.96695,0.98907,0.86194,0.59546,0.36963,1.18142,0.004654,0.004654,0.004654
56,2780.77,0.92847,0.76799,1.0653,0.97611,0.96318,0.98725,0.85985,0.61911,0.35764,1.19352,0.004555,0.004555,0.004555
57,2810.7,0.92764,0.77798,1.0677,0.96583,0.96922,0.98726,0.87929,0.54649,0.35391,1.16564,0.004456,0.004456,0.004456
58,2840.42,0.92192,0.76842,1.05773,0.96376,0.97284,0.98908,0.87765,0.53069,0.34141,1.15534,0.004357,0.004357,0.004357
59,2870.15,0.9118,0.73446,1.05422,0.97453,0.96774,0.98948,0.89628,0.47196,0.32308,1.13659,0.004258,0.004258,0.004258
60,2900.12,0.90021,0.72052,1.04464,0.96759,0.97014,0.98657,0.87803,0.53896,0.3277,1.15975,0.004159,0.004159,0.004159
61,2929.41,0.91534,0.72483,1.0539,0.96249,0.97906,0.9892,0.87681,0.54041,0.33707,1.15826,0.00406,0.00406,0.00406
62,2959.68,0.90798,0.72949,1.05838,0.96932,0.97723,0.98948,0.88475,0.50793,0.32835,1.14681,0.003961,0.003961,0.003961
63,2989.5,0.89909,0.72239,1.04324,0.97208,0.97796,0.98997,0.89417,0.47817,0.32417,1.13877,0.003862,0.003862,0.003862
64,3019.25,0.89551,0.74337,1.04491,0.97093,0.97887,0.99041,0.89539,0.46963,0.31788,1.13584,0.003763,0.003763,0.003763
65,3048.77,0.88268,0.71463,1.04428,0.97684,0.96943,0.98909,0.88618,0.50922,0.32523,1.14765,0.003664,0.003664,0.003664
66,3078.51,0.88874,0.7016,1.04369,0.9674,0.97923,0.98944,0.88808,0.50705,0.32985,1.14836,0.003565,0.003565,0.003565
67,3108.05,0.86676,0.68878,1.02773,0.96961,0.97919,0.98945,0.88206,0.53398,0.33657,1.1576,0.003466,0.003466,0.003466
68,3137.73,0.86087,0.6805,1.03304,0.97102,0.98095,0.99023,0.88485,0.51665,0.32772,1.15042,0.003367,0.003367,0.003367
69,3167.4,0.86671,0.66804,1.03156,0.97384,0.9786,0.98922,0.89013,0.50355,0.32351,1.15013,0.003268,0.003268,0.003268
70,3197.21,0.87336,0.68898,1.03857,0.972,0.9795,0.99004,0.88988,0.50089,0.31811,1.14501,0.003169,0.003169,0.003169
71,3227.05,0.85455,0.66465,1.02957,0.97234,0.97913,0.99002,0.89461,0.48148,0.30751,1.13796,0.00307,0.00307,0.00307
72,3256.51,0.85745,0.66599,1.0247,0.97587,0.97501,0.9898,0.89701,0.47282,0.30845,1.13445,0.002971,0.002971,0.002971
73,3286.31,0.8524,0.66881,1.0271,0.97776,0.97307,0.99005,0.89733,0.46862,0.30345,1.13812,0.002872,0.002872,0.002872
74,3316.08,0.84652,0.65758,1.0256,0.97834,0.97081,0.99036,0.89986,0.46731,0.30417,1.13758,0.002773,0.002773,0.002773
75,3345.55,0.83637,0.65286,1.02349,0.97406,0.97291,0.99029,0.89723,0.48098,0.30866,1.1466,0.002674,0.002674,0.002674
76,3375.02,0.83172,0.63793,1.01508,0.97708,0.96988,0.98934,0.89558,0.48423,0.30754,1.148,0.002575,0.002575,0.002575
77,3404.35,0.81909,0.6234,1.00899,0.97793,0.96974,0.98863,0.89417,0.48469,0.30872,1.14737,0.002476,0.002476,0.002476
78,3434,0.82153,0.63078,1.01243,0.97997,0.97149,0.98918,0.89207,0.48177,0.30889,1.14106,0.002377,0.002377,0.002377
79,3463.63,0.81104,0.6054,1.00859,0.97842,0.97295,0.98918,0.89138,0.48496,0.31039,1.14331,0.002278,0.002278,0.002278
80,3493.04,0.82344,0.61029,1.01299,0.9803,0.97151,0.9892,0.89408,0.47266,0.30811,1.13903,0.002179,0.002179,0.002179
81,3522.86,0.8069,0.61034,0.99674,0.98107,0.97235,0.98926,0.89597,0.46967,0.30403,1.13887,0.00208,0.00208,0.00208
82,3552.23,0.80581,0.61358,1.0018,0.97603,0.97572,0.98874,0.89797,0.46251,0.30279,1.13623,0.001981,0.001981,0.001981
83,3581.91,0.79759,0.61017,0.99598,0.9772,0.9738,0.98947,0.89862,0.45833,0.30334,1.13427,0.001882,0.001882,0.001882
84,3611.58,0.7792,0.59622,0.99135,0.97539,0.97544,0.98948,0.89933,0.45439,0.3023,1.13234,0.001783,0.001783,0.001783
85,3641.27,0.78334,0.58948,0.99269,0.97457,0.9768,0.98956,0.89876,0.45592,0.30193,1.13447,0.001684,0.001684,0.001684
86,3670.69,0.7924,0.5915,0.99101,0.9779,0.97197,0.98846,0.9001,0.45502,0.30284,1.13469,0.001585,0.001585,0.001585
87,3700.44,0.77246,0.57272,0.98759,0.97684,0.97362,0.98854,0.90222,0.45418,0.30243,1.13468,0.001486,0.001486,0.001486
88,3729.97,0.76204,0.56975,0.98222,0.97641,0.97394,0.98859,0.90322,0.45452,0.30128,1.13471,0.001387,0.001387,0.001387
89,3759.71,0.75859,0.56037,0.98543,0.97786,0.9729,0.9887,0.90302,0.45089,0.30029,1.13425,0.001288,0.001288,0.001288
90,3789.72,0.76686,0.5588,0.99057,0.97766,0.97186,0.9887,0.90381,0.45017,0.29938,1.13362,0.001189,0.001189,0.001189
91,3821.08,0.66482,0.43148,0.97591,0.97433,0.97341,0.98873,0.90352,0.44931,0.29826,1.13471,0.00109,0.00109,0.00109
92,3850.33,0.63306,0.402,0.96853,0.97402,0.97463,0.98965,0.90415,0.44741,0.29742,1.13116,0.000991,0.000991,0.000991
93,3879.73,0.61878,0.38928,0.95972,0.97454,0.97611,0.99029,0.90427,0.44507,0.29532,1.13027,0.000892,0.000892,0.000892
94,3908.93,0.61001,0.38156,0.96226,0.97443,0.97726,0.99047,0.90506,0.44325,0.29343,1.12894,0.000793,0.000793,0.000793
95,3937.96,0.60039,0.37743,0.95485,0.97616,0.9773,0.99052,0.90604,0.44154,0.29059,1.13,0.000694,0.000694,0.000694
96,3967.08,0.60354,0.37341,0.94818,0.97795,0.97711,0.99055,0.90735,0.43783,0.28737,1.12947,0.000595,0.000595,0.000595
97,3996.68,0.58843,0.36571,0.94282,0.97892,0.97691,0.9906,0.9098,0.43282,0.28479,1.12794,0.000496,0.000496,0.000496
98,4026.28,0.57494,0.35393,0.93604,0.97953,0.97739,0.99062,0.91142,0.42877,0.28261,1.12654,0.000397,0.000397,0.000397
