epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.426,0.59206,2.14543,1.29839,0.56725,0.60499,0.44583,0.35442,0.75025,2.34373,1.07946,0.000411647,0.000411647,0.000411647
2,40.8426,0.26322,1.03088,1.00141,0.73986,0.76822,0.82492,0.77218,0.47509,1.27214,0.74466,0.000820113,0.000820113,0.000820113
3,58.0955,0.25629,0.80606,0.98619,0.15665,0.53348,0.33864,0.25554,1.27262,2.30582,1.9217,0.00122033,0.00122033,0.00122033
4,75.0415,0.24583,0.70461,0.98361,0.51856,0.73803,0.74951,0.6371,0.45086,1.71558,0.61743,0.00121287,0.00121287,0.00121287
5,91.8019,0.21742,0.61092,0.9694,0.84314,0.59228,0.84633,0.72967,0.56002,1.19102,0.79392,0.0012005,0.0012005,0.0012005
6,110.452,0.19431,0.54033,0.95612,0.73934,0.39199,0.58829,0.45509,0.38653,2.23053,0.57934,0.00118812,0.00118812,0.00118812
7,127.517,0.18156,0.54845,0.94348,0.7726,0.67323,0.71924,0.66018,0.40868,1.52434,0.63697,0.00117575,0.00117575,0.00117575
8,144.467,0.17305,0.50465,0.94173,0.8433,0.89611,0.93783,0.81977,0.38919,0.73419,0.58471,0.00116337,0.00116337,0.00116337
9,181.399,0.16644,0.46286,0.92768,0.86078,0.7536,0.9012,0.82562,0.39341,0.74141,0.57039,0.001151,0.001151,0.001151
10,212.74,0.15825,0.45012,0.93612,0.67015,0.79274,0.85033,0.73225,0.46392,1.01187,0.6081,0.00113863,0.00113863,0.00113863
11,248.972,0.15691,0.44321,0.93161,0.92721,0.91286,0.97424,0.91413,0.43975,0.66014,0.62985,0.00112625,0.00112625,0.00112625
12,279.423,0.13917,0.43124,0.91453,0.83517,0.8402,0.93183,0.87048,0.41464,0.90015,0.68619,0.00111388,0.00111388,0.00111388
13,315.22,0.13922,0.40428,0.92264,0.69767,0.82252,0.90347,0.85126,0.45361,1.2334,0.57523,0.0011015,0.0011015,0.0011015
14,339.445,0.13381,0.40857,0.91694,0.69244,0.79219,0.88081,0.86066,0.28173,1.08357,0.46547,0.00108913,0.00108913,0.00108913
15,369.439,0.13376,0.38972,0.92564,0.66823,0.74117,0.8418,0.768,0.40389,1.07306,0.63052,0.00107675,0.00107675,0.00107675
16,405.501,0.12973,0.39651,0.91547,0.89668,0.91713,0.97272,0.84301,0.5646,0.74983,0.70834,0.00106437,0.00106437,0.00106437
17,435.761,0.12591,0.38519,0.91565,0.7699,0.87051,0.95746,0.87572,0.2454,0.93761,0.44221,0.001052,0.001052,0.001052
18,471.563,0.12071,0.37078,0.91046,0.94825,0.94144,0.9835,0.97628,0.30466,0.38945,0.4838,0.00103962,0.00103962,0.00103962
19,499.158,0.12254,0.36279,0.91727,0.90738,0.87345,0.94956,0.91706,0.35246,0.55548,0.5304,0.00102725,0.00102725,0.00102725
20,532.344,0.11499,0.3497,0.90763,0.95803,0.93086,0.9842,0.96348,0.29951,0.4065,0.48023,0.00101488,0.00101488,0.00101488
21,561.595,0.11432,0.35675,0.91405,0.84882,0.89588,0.96742,0.94367,0.27062,0.61044,0.44679,0.0010025,0.0010025,0.0010025
22,591.93,0.11512,0.3569,0.91005,0.89545,0.86397,0.96528,0.94856,0.26028,0.53244,0.41502,0.000990125,0.000990125,0.000990125
23,627.442,0.11148,0.35084,0.90858,0.90994,0.92319,0.97865,0.95828,0.30956,0.42908,0.4781,0.00097775,0.00097775,0.00097775
24,657.463,0.10661,0.33406,0.90347,0.96396,0.97597,0.99259,0.96173,0.30427,0.37415,0.4792,0.000965375,0.000965375,0.000965375
25,693.062,0.10887,0.3487,0.90961,0.97274,0.95904,0.99036,0.98031,0.27931,0.33724,0.47455,0.000953,0.000953,0.000953
26,717.611,0.10401,0.3354,0.90971,0.87727,0.8831,0.94923,0.87442,0.42743,0.76544,0.54962,0.000940625,0.000940625,0.000940625
27,747.947,0.10275,0.32065,0.90058,0.91535,0.93892,0.98877,0.98396,0.23344,0.49178,0.3746,0.00092825,0.00092825,0.00092825
28,783.788,0.10781,0.32883,0.90756,0.96977,0.94403,0.98904,0.9872,0.25374,0.37628,0.40875,0.000915875,0.000915875,0.000915875
29,814.277,0.09772,0.31874,0.90593,0.96671,0.96936,0.99066,0.98138,0.27818,0.32752,0.45562,0.0009035,0.0009035,0.0009035
30,850.291,0.09967,0.31147,0.90627,0.92838,0.94139,0.9845,0.93168,0.35283,0.46642,0.48673,0.000891125,0.000891125,0.000891125
31,877.797,0.10022,0.32094,0.90729,0.9223,0.87394,0.98274,0.95734,0.30353,0.53583,0.46424,0.00087875,0.00087875,0.00087875
32,910.756,0.09581,0.31268,0.89904,0.96284,0.97257,0.993,0.99024,0.25706,0.31971,0.42248,0.000866375,0.000866375,0.000866375
33,940.786,0.09582,0.30748,0.90462,0.97607,0.96156,0.99146,0.98391,0.23878,0.32793,0.39398,0.000854,0.000854,0.000854
34,971.052,0.09332,0.298,0.91027,0.95683,0.95435,0.98999,0.96563,0.24063,0.34012,0.42684,0.000841625,0.000841625,0.000841625
35,1006.79,0.09522,0.29248,0.89913,0.93726,0.86829,0.97684,0.97283,0.25276,0.47583,0.40464,0.00082925,0.00082925,0.00082925
36,1036.89,0.09001,0.30083,0.9068,0.94343,0.95427,0.9814,0.9794,0.27673,0.3486,0.44207,0.000816875,0.000816875,0.000816875
37,1072.92,0.08912,0.29467,0.90358,0.96424,0.96881,0.98723,0.98322,0.28735,0.33908,0.47644,0.0008045,0.0008045,0.0008045
38,1097.11,0.08844,0.28494,0.90109,0.97591,0.95327,0.99246,0.97496,0.2328,0.31141,0.40411,0.000792125,0.000792125,0.000792125
39,1127.08,0.08855,0.28522,0.8997,0.9755,0.97107,0.9924,0.98227,0.265,0.30002,0.42077,0.00077975,0.00077975,0.00077975
40,1163.15,0.08472,0.26441,0.89871,0.9759,0.95721,0.9917,0.98466,0.26559,0.31388,0.41731,0.000767375,0.000767375,0.000767375
41,1193.34,0.08203,0.27365,0.90125,0.98519,0.97165,0.9938,0.99324,0.23249,0.34793,0.36373,0.000755,0.000755,0.000755
42,1229.09,0.08694,0.28255,0.89917,0.96646,0.97519,0.99079,0.98918,0.23777,0.29617,0.3654,0.000742625,0.000742625,0.000742625
43,1256.75,0.08543,0.27907,0.90363,0.98544,0.96586,0.98846,0.98761,0.21267,0.30528,0.34625,0.00073025,0.00073025,0.00073025
44,1289.87,0.08396,0.2686,0.90102,0.96327,0.97162,0.98727,0.96854,0.30505,0.3649,0.4987,0.000717875,0.000717875,0.000717875
45,1319,0.07751,0.2482,0.89808,0.96092,0.96435,0.98854,0.97607,0.23089,0.37124,0.39008,0.0007055,0.0007055,0.0007055
46,1349.57,0.07793,0.2772,0.90422,0.94174,0.93077,0.98189,0.98185,0.18691,0.34914,0.31614,0.000693125,0.000693125,0.000693125
47,1385.23,0.08153,0.2648,0.89774,0.96732,0.97513,0.99155,0.99128,0.19264,0.2914,0.32291,0.00068075,0.00068075,0.00068075
48,1415.84,0.07923,0.25831,0.90297,0.98734,0.97185,0.9913,0.97538,0.24788,0.29871,0.40104,0.000668375,0.000668375,0.000668375
49,1451.86,0.07703,0.26767,0.89611,0.97578,0.97047,0.99266,0.99034,0.21171,0.32308,0.33709,0.000656,0.000656,0.000656
50,1476.45,0.07888,0.26376,0.90208,0.97941,0.97806,0.99303,0.98389,0.2219,0.291,0.37435,0.000643625,0.000643625,0.000643625
51,1507.06,0.07579,0.24241,0.89597,0.98474,0.97966,0.99328,0.98897,0.25494,0.31827,0.3994,0.00063125,0.00063125,0.00063125
52,1542.32,0.07631,0.24319,0.89574,0.97248,0.9687,0.9888,0.98842,0.24501,0.31925,0.3969,0.000618875,0.000618875,0.000618875
53,1572.18,0.07461,0.25326,0.90004,0.98022,0.97493,0.99324,0.99221,0.20255,0.27375,0.33084,0.0006065,0.0006065,0.0006065
54,1607.89,0.07388,0.25873,0.89827,0.9845,0.98768,0.99363,0.99325,0.20401,0.26418,0.33035,0.000594125,0.000594125,0.000594125
55,1635.95,0.07242,0.24087,0.90264,0.99196,0.98527,0.99429,0.97285,0.27597,0.29582,0.43462,0.00058175,0.00058175,0.00058175
56,1669.36,0.07042,0.22685,0.89925,0.97886,0.98436,0.9937,0.98543,0.26379,0.29142,0.41799,0.000569375,0.000569375,0.000569375
57,1698.07,0.07307,0.23444,0.90372,0.99002,0.96768,0.99363,0.99306,0.17127,0.28414,0.3004,0.000557,0.000557,0.000557
58,1728.14,0.07425,0.23699,0.89723,0.9833,0.98478,0.99383,0.99354,0.17312,0.28449,0.30305,0.000544625,0.000544625,0.000544625
59,1764.19,0.06953,0.24134,0.9011,0.97686,0.97351,0.99166,0.99107,0.20015,0.30127,0.34183,0.00053225,0.00053225,0.00053225
60,1794.34,0.07418,0.23536,0.90027,0.98716,0.98335,0.99389,0.99294,0.20074,0.25801,0.32735,0.000519875,0.000519875,0.000519875
61,1829.99,0.07156,0.22919,0.89462,0.98571,0.98121,0.99402,0.99316,0.20247,0.26412,0.34078,0.0005075,0.0005075,0.0005075
62,1855.02,0.07207,0.23269,0.90283,0.98527,0.97599,0.99269,0.942,0.33864,0.40892,0.58159,0.000495125,0.000495125,0.000495125
63,1885.94,0.06579,0.21477,0.89196,0.98423,0.98729,0.99368,0.98555,0.25132,0.34599,0.37088,0.00048275,0.00048275,0.00048275
64,1920.36,0.07008,0.21932,0.89525,0.99009,0.98913,0.99385,0.95868,0.28945,0.38406,0.45173,0.000470375,0.000470375,0.000470375
65,1950.37,0.06449,0.21976,0.89327,0.99038,0.98632,0.99445,0.95691,0.34227,0.35083,0.60477,0.000458,0.000458,0.000458
66,1985.96,0.06407,0.211,0.8933,0.98419,0.99049,0.9939,0.99308,0.24289,0.31935,0.38971,0.000445625,0.000445625,0.000445625
67,2014.36,0.06548,0.2095,0.89288,0.98931,0.98986,0.99444,0.98135,0.28274,0.31945,0.47989,0.00043325,0.00043325,0.00043325
68,2048.32,0.06111,0.2059,0.89719,0.98197,0.97584,0.99307,0.99215,0.22627,0.34971,0.38521,0.000420875,0.000420875,0.000420875
69,2075.56,0.06315,0.20148,0.89478,0.99263,0.98862,0.99448,0.97265,0.3271,0.33636,0.55311,0.0004085,0.0004085,0.0004085
70,2106.09,0.06298,0.22179,0.89085,0.99232,0.97941,0.99443,0.98753,0.27626,0.36385,0.45904,0.000396125,0.000396125,0.000396125
71,2141.95,0.0633,0.21842,0.89147,0.98914,0.991,0.99464,0.9921,0.23051,0.32755,0.38263,0.00038375,0.00038375,0.00038375
72,2172.13,0.06231,0.20527,0.89167,0.98887,0.98874,0.99392,0.99007,0.22756,0.3301,0.38416,0.000371375,0.000371375,0.000371375
73,2207.69,0.06045,0.20839,0.89979,0.99034,0.98994,0.99398,0.99036,0.24109,0.32626,0.38947,0.000359,0.000359,0.000359
74,2233.05,0.05989,0.21063,0.89234,0.99124,0.99025,0.99407,0.99371,0.21339,0.30425,0.35612,0.000346625,0.000346625,0.000346625
75,2264.56,0.05773,0.19672,0.89161,0.98579,0.98847,0.99299,0.99298,0.18355,0.2691,0.32442,0.00033425,0.00033425,0.00033425
76,2297.5,0.05758,0.19641,0.88846,0.9927,0.98439,0.99455,0.99441,0.18874,0.24208,0.32771,0.000321875,0.000321875,0.000321875
77,2327.7,0.05752,0.2089,0.88972,0.98636,0.9892,0.99243,0.99233,0.17658,0.24284,0.31952,0.0003095,0.0003095,0.0003095
78,2363.56,0.05683,0.20482,0.89622,0.98803,0.98743,0.99375,0.99342,0.16449,0.28105,0.30258,0.000297125,0.000297125,0.000297125
79,2392.89,0.05611,0.20393,0.88663,0.9899,0.99213,0.99371,0.99371,0.17666,0.23892,0.31153,0.00028475,0.00028475,0.00028475
80,2427.69,0.05503,0.1851,0.88837,0.98879,0.98764,0.99378,0.99378,0.16458,0.2472,0.30278,0.000272375,0.000272375,0.000272375
81,2453.62,0.05124,0.19268,0.88923,0.99309,0.98342,0.99438,0.99387,0.1644,0.28187,0.29461,0.00026,0.00026,0.00026
82,2483.55,0.05398,0.1842,0.89634,0.9827,0.98961,0.99362,0.99275,0.17045,0.26307,0.30858,0.000247625,0.000247625,0.000247625
83,2519.36,0.05125,0.19662,0.89605,0.99433,0.98494,0.99376,0.99264,0.18027,0.31845,0.31089,0.00023525,0.00023525,0.00023525
84,2549.36,0.05186,0.19125,0.88897,0.98925,0.98881,0.99427,0.99348,0.17031,0.28483,0.29616,0.000222875,0.000222875,0.000222875
85,2585.36,0.0534,0.1772,0.88715,0.99314,0.98911,0.99421,0.9941,0.17586,0.26981,0.30022,0.0002105,0.0002105,0.0002105
86,2612.05,0.05312,0.18016,0.89231,0.98471,0.98686,0.99368,0.99368,0.17322,0.2498,0.30858,0.000198125,0.000198125,0.000198125
87,2644.19,0.05133,0.17117,0.89613,0.98466,0.98896,0.9942,0.99354,0.17342,0.28366,0.30735,0.00018575,0.00018575,0.00018575
