epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2264,2.55409,5.26983,2.00474,0.00086,0.26031,0.00125,0.0005,1.88311,6.20347,1.77136,0.000411647,0.000411647,0.000411647
2,39.7057,1.86487,3.24995,1.55888,0.25533,0.16227,0.18844,0.06538,2.22332,2.82972,2.22266,0.000820113,0.000820113,0.000820113
3,56.9064,1.79819,2.65053,1.53305,0.37558,0.18274,0.07704,0.0317,1.75548,4.79817,1.78999,0.00122033,0.00122033,0.00122033
4,74.2025,1.72742,2.33809,1.51169,0.33482,0.30451,0.26647,0.10483,1.6843,3.58099,1.87975,0.00121287,0.00121287,0.00121287
5,91.8278,1.66299,2.16491,1.47288,0.38839,0.23547,0.15677,0.06686,1.694,3.13766,1.73929,0.0012005,0.0012005,0.0012005
6,109.321,1.59643,2.05669,1.42945,0.27228,0.28721,0.2675,0.12208,1.67157,2.47909,1.68901,0.00118812,0.00118812,0.00118812
7,126.463,1.555,1.95647,1.41936,0.40879,0.33633,0.34991,0.15639,1.4521,2.21209,1.64839,0.00117575,0.00117575,0.00117575
8,143.737,1.54163,1.88017,1.39543,0.48607,0.41292,0.45034,0.20714,1.53628,2.12873,1.67759,0.00116337,0.00116337,0.00116337
9,160.94,1.51091,1.77169,1.37624,0.52115,0.46825,0.5063,0.22463,1.52489,2.11157,1.63582,0.001151,0.001151,0.001151
10,178.261,1.4743,1.69655,1.3481,0.73881,0.68099,0.76563,0.39177,1.35706,1.56051,1.58234,0.00113863,0.00113863,0.00113863
11,195.487,1.44818,1.64632,1.34521,0.83268,0.72441,0.81007,0.43606,1.34086,1.42592,1.56897,0.00112625,0.00112625,0.00112625
12,213.042,1.43809,1.60364,1.33466,0.628,0.54793,0.58386,0.27906,1.44332,1.90736,1.6093,0.00111388,0.00111388,0.00111388
13,230.272,1.38452,1.51253,1.30049,0.60453,0.34507,0.3591,0.19131,1.35693,2.79866,1.56498,0.0011015,0.0011015,0.0011015
14,247.085,1.40411,1.53073,1.31857,0.85818,0.84851,0.8911,0.5165,1.23654,1.26845,1.53781,0.00108913,0.00108913,0.00108913
15,264.724,1.38283,1.51117,1.31209,0.80964,0.72818,0.8018,0.3677,1.33885,1.54489,1.57171,0.00107675,0.00107675,0.00107675
16,281.999,1.33825,1.41751,1.27453,0.70092,0.58512,0.65593,0.38994,1.32175,1.62042,1.54804,0.00106437,0.00106437,0.00106437
17,299.512,1.33582,1.38165,1.27384,0.87955,0.80608,0.88794,0.54438,1.18833,1.16912,1.51441,0.001052,0.001052,0.001052
18,317.268,1.30325,1.36778,1.26463,0.80297,0.7022,0.78997,0.51405,1.0797,1.29978,1.40474,0.00103962,0.00103962,0.00103962
19,334.585,1.28142,1.32952,1.26705,0.87894,0.79891,0.88597,0.5131,1.29469,1.18649,1.63266,0.00102725,0.00102725,0.00102725
20,351.675,1.27193,1.3249,1.25797,0.84347,0.80823,0.86241,0.57015,1.06699,1.14253,1.41359,0.00101488,0.00101488,0.00101488
21,368.883,1.2491,1.25045,1.2226,0.50401,0.50638,0.5322,0.2805,1.44703,2.03947,1.66482,0.0010025,0.0010025,0.0010025
22,386.227,1.22028,1.20419,1.21495,0.84828,0.76682,0.84187,0.58026,1.11549,1.07012,1.43105,0.000990125,0.000990125,0.000990125
23,416.143,1.21637,1.19912,1.21903,0.90555,0.8515,0.91841,0.54126,1.24724,1.0817,1.59238,0.00097775,0.00097775,0.00097775
24,448.309,1.21472,1.20228,1.20831,0.92367,0.89408,0.94467,0.66691,1.03267,0.89881,1.40981,0.000965375,0.000965375,0.000965375
25,477.078,1.21084,1.17663,1.21391,0.89644,0.84898,0.94142,0.69325,0.98178,0.8984,1.40665,0.000953,0.000953,0.000953
26,508.278,1.17654,1.15448,1.19641,0.93266,0.90384,0.96053,0.67452,1.17171,0.73755,1.51171,0.000940625,0.000940625,0.000940625
27,544.594,1.16249,1.11536,1.1908,0.94467,0.9007,0.96012,0.68785,1.02942,0.71628,1.4121,0.00092825,0.00092825,0.00092825
28,575.979,1.14287,1.12784,1.17654,0.90492,0.86141,0.94986,0.7408,0.85728,0.75367,1.32019,0.000915875,0.000915875,0.000915875
29,612.766,1.16076,1.13341,1.19292,0.92559,0.90939,0.96311,0.7486,0.8541,0.66762,1.3152,0.0009035,0.0009035,0.0009035
30,638.547,1.12288,1.08763,1.1638,0.92465,0.89383,0.96664,0.70229,0.96332,0.73236,1.40274,0.000891125,0.000891125,0.000891125
31,671.614,1.11858,1.05913,1.16121,0.89791,0.88606,0.94544,0.7227,0.88294,0.73158,1.33367,0.00087875,0.00087875,0.00087875
32,703.413,1.10399,1.02268,1.15697,0.94693,0.92106,0.97362,0.73944,0.90282,0.68007,1.35751,0.000866375,0.000866375,0.000866375
33,733.783,1.08414,0.99959,1.13667,0.95567,0.93322,0.97795,0.77552,0.83105,0.5637,1.31828,0.000854,0.000854,0.000854
34,770.171,1.09847,1.01142,1.15791,0.96822,0.92582,0.97356,0.76946,0.80583,0.70195,1.29266,0.000841625,0.000841625,0.000841625
35,799.948,1.06991,0.9826,1.12785,0.87927,0.91678,0.95742,0.76321,0.78995,0.67503,1.28166,0.00082925,0.00082925,0.00082925
36,834.961,1.06102,0.97294,1.12915,0.95069,0.91326,0.9766,0.81122,0.71288,0.51492,1.23903,0.000816875,0.000816875,0.000816875
37,860.227,1.07775,0.99793,1.14114,0.95341,0.93565,0.97859,0.77843,0.81374,0.57704,1.30621,0.0008045,0.0008045,0.0008045
38,890.427,1.06861,0.99383,1.14026,0.95108,0.92754,0.97812,0.8155,0.69641,0.5374,1.23686,0.000792125,0.000792125,0.000792125
39,926.345,1.03403,0.97183,1.11665,0.94741,0.91298,0.97144,0.77661,0.77054,0.5928,1.28257,0.00077975,0.00077975,0.00077975
40,956.74,1.04171,0.95208,1.11645,0.94061,0.94871,0.97833,0.78883,0.75701,0.53464,1.28827,0.000767375,0.000767375,0.000767375
41,992.648,1.05967,0.94413,1.12714,0.97267,0.93813,0.9814,0.78151,0.81891,0.48638,1.30724,0.000755,0.000755,0.000755
42,1019.47,1.02306,0.9154,1.11607,0.89425,0.84086,0.92595,0.71925,0.86459,0.75564,1.3351,0.000742625,0.000742625,0.000742625
43,1052.05,1.0081,0.90341,1.10227,0.9456,0.94285,0.97892,0.80686,0.74188,0.53716,1.26207,0.00073025,0.00073025,0.00073025
44,1081.82,0.98521,0.87603,1.08578,0.96846,0.93331,0.98015,0.81441,0.7294,0.4727,1.2494,0.000717875,0.000717875,0.000717875
45,1112.26,0.97398,0.85917,1.0738,0.96836,0.94258,0.98431,0.7708,0.8501,0.47429,1.32524,0.0007055,0.0007055,0.0007055
46,1148.17,0.99917,0.90751,1.10946,0.95477,0.94603,0.98301,0.82371,0.67258,0.45366,1.22235,0.000693125,0.000693125,0.000693125
47,1179.58,0.9784,0.87661,1.07382,0.95765,0.94954,0.98198,0.81015,0.752,0.47895,1.26385,0.00068075,0.00068075,0.00068075
48,1215.1,0.98782,0.9042,1.09298,0.97237,0.94285,0.98312,0.82818,0.70636,0.45943,1.24754,0.000668375,0.000668375,0.000668375
49,1239.16,0.96195,0.87099,1.07188,0.96243,0.94496,0.9814,0.78752,0.81217,0.4731,1.30208,0.000656,0.000656,0.000656
50,1269.54,0.95637,0.84429,1.07743,0.97234,0.9195,0.97747,0.81279,0.70312,0.49484,1.23729,0.000643625,0.000643625,0.000643625
51,1305.49,0.95457,0.82445,1.06441,0.97292,0.93565,0.98271,0.81594,0.70658,0.44982,1.24172,0.00063125,0.00063125,0.00063125
52,1335.87,0.96823,0.86829,1.08032,0.964,0.95079,0.98398,0.81602,0.6975,0.44771,1.23666,0.000618875,0.000618875,0.000618875
53,1371.75,0.9505,0.80465,1.0604,0.96218,0.94702,0.98242,0.82353,0.69017,0.44691,1.23174,0.0006065,0.0006065,0.0006065
54,1398.7,0.91748,0.79787,1.05376,0.9621,0.93739,0.98149,0.83818,0.65005,0.43102,1.21431,0.000594125,0.000594125,0.000594125
55,1431.74,0.9375,0.83922,1.0577,0.95523,0.93313,0.97965,0.82427,0.67148,0.47561,1.23059,0.00058175,0.00058175,0.00058175
56,1462.13,0.94031,0.81698,1.07236,0.95304,0.95575,0.98408,0.83098,0.65143,0.41856,1.22691,0.000569375,0.000569375,0.000569375
57,1492.78,0.9216,0.77369,1.05382,0.97169,0.94212,0.98434,0.81997,0.73039,0.4363,1.26362,0.000557,0.000557,0.000557
58,1528.92,0.88492,0.76743,1.02617,0.95458,0.95116,0.98282,0.82675,0.69146,0.41392,1.24195,0.000544625,0.000544625,0.000544625
59,1559.25,0.91436,0.79349,1.06128,0.9726,0.94464,0.98508,0.83172,0.68654,0.42663,1.22671,0.00053225,0.00053225,0.00053225
60,1595.05,0.91124,0.79879,1.05506,0.94908,0.9289,0.98235,0.83906,0.65827,0.44075,1.22365,0.000519875,0.000519875,0.000519875
61,1619.07,0.89314,0.7723,1.03999,0.97556,0.95774,0.98668,0.84621,0.62798,0.39631,1.22145,0.0005075,0.0005075,0.0005075
62,1649.13,0.88997,0.7768,1.03655,0.97296,0.95476,0.98589,0.84869,0.62929,0.40924,1.20912,0.000495125,0.000495125,0.000495125
63,1684.96,0.89779,0.76154,1.0419,0.97046,0.96076,0.98625,0.83802,0.67454,0.39127,1.24102,0.00048275,0.00048275,0.00048275
64,1715.25,0.87682,0.76853,1.03369,0.95668,0.96507,0.98585,0.85431,0.63299,0.39434,1.21012,0.000470375,0.000470375,0.000470375
65,1751.34,0.87424,0.7528,1.03781,0.96522,0.95698,0.98352,0.82767,0.70246,0.39642,1.24831,0.000458,0.000458,0.000458
66,1778.44,0.84238,0.71292,1.01514,0.96874,0.96584,0.98735,0.82227,0.72276,0.39326,1.25473,0.000445625,0.000445625,0.000445625
67,1811.55,0.83249,0.70223,1.01622,0.95721,0.96578,0.98582,0.85158,0.64076,0.3765,1.22299,0.00043325,0.00043325,0.00043325
68,1841.65,0.83739,0.70748,1.00789,0.95946,0.95738,0.98519,0.83593,0.69847,0.39327,1.24916,0.000420875,0.000420875,0.000420875
69,1871.71,0.84117,0.70996,1.01838,0.97609,0.95038,0.98654,0.85265,0.60938,0.36926,1.2002,0.0004085,0.0004085,0.0004085
70,1907.98,0.84828,0.70332,1.01669,0.95607,0.96454,0.98556,0.8288,0.69441,0.38418,1.24068,0.000396125,0.000396125,0.000396125
71,1938.58,0.81802,0.67912,1.00942,0.96378,0.96214,0.98632,0.82605,0.74433,0.38047,1.30305,0.00038375,0.00038375,0.00038375
72,1974.54,0.83885,0.71316,1.01513,0.96938,0.94793,0.98534,0.83157,0.70313,0.38612,1.26087,0.000371375,0.000371375,0.000371375
73,1998.51,0.81616,0.69316,1.00578,0.9676,0.96055,0.98729,0.86957,0.58754,0.36589,1.19623,0.000359,0.000359,0.000359
74,2028.91,0.82954,0.68825,1.01368,0.96592,0.96949,0.98688,0.87645,0.56954,0.34251,1.2001,0.000346625,0.000346625,0.000346625
75,2064.55,0.81232,0.67459,1.00997,0.9569,0.96188,0.98673,0.87835,0.55404,0.36186,1.18735,0.00033425,0.00033425,0.00033425
76,2096.06,0.79439,0.6688,1.00612,0.95811,0.96629,0.98692,0.83711,0.69402,0.37363,1.26124,0.000321875,0.000321875,0.000321875
77,2131.98,0.80997,0.68645,1.00914,0.95804,0.96217,0.98653,0.86523,0.61065,0.368,1.2171,0.0003095,0.0003095,0.0003095
78,2158.57,0.80517,0.67852,1.00636,0.97452,0.94853,0.98664,0.86524,0.57571,0.35397,1.19808,0.000297125,0.000297125,0.000297125
79,2191.38,0.77798,0.6785,0.99429,0.97431,0.95396,0.98708,0.86556,0.59083,0.34985,1.19889,0.00028475,0.00028475,0.00028475
80,2221.96,0.76969,0.63855,0.99367,0.96394,0.96459,0.9871,0.86368,0.59436,0.34954,1.19827,0.000272375,0.000272375,0.000272375
81,2252.15,0.78131,0.64868,0.98915,0.96446,0.95913,0.98576,0.86694,0.59591,0.35734,1.1995,0.00026,0.00026,0.00026
82,2287.95,0.78353,0.63603,0.98609,0.96914,0.97044,0.98749,0.8585,0.61123,0.34542,1.20613,0.000247625,0.000247625,0.000247625
83,2318.01,0.76066,0.63868,0.98132,0.96049,0.96151,0.98678,0.87058,0.58407,0.35555,1.18839,0.00023525,0.00023525,0.00023525
84,2354.36,0.79032,0.64694,0.98982,0.96344,0.96463,0.9868,0.873,0.57304,0.34275,1.19141,0.000222875,0.000222875,0.000222875
85,2378.96,0.76834,0.62034,0.97938,0.95878,0.96193,0.98563,0.87871,0.56248,0.34855,1.18298,0.0002105,0.0002105,0.0002105
86,2409.44,0.78167,0.63938,0.99696,0.96555,0.96677,0.98733,0.87322,0.57113,0.34358,1.18329,0.000198125,0.000198125,0.000198125
87,2445.3,0.74009,0.62414,0.97564,0.9669,0.95385,0.98709,0.86459,0.61079,0.36105,1.21007,0.00018575,0.00018575,0.00018575
88,2475.64,0.76028,0.63854,0.98397,0.9713,0.95612,0.98676,0.86692,0.59651,0.3487,1.19705,0.000173375,0.000173375,0.000173375
89,2511.08,0.75784,0.63542,0.98247,0.97503,0.95831,0.98672,0.87692,0.56598,0.33345,1.1869,0.000161,0.000161,0.000161
90,2537.95,0.73966,0.58378,0.97706,0.97407,0.95931,0.98776,0.86484,0.61074,0.34898,1.20794,0.000148625,0.000148625,0.000148625
91,2570.5,0.65783,0.54245,1.00727,0.96108,0.96244,0.98647,0.87302,0.56949,0.33793,1.18164,0.00013625,0.00013625,0.00013625
92,2606.12,0.59427,0.46937,0.976,0.9702,0.96618,0.98698,0.88902,0.5214,0.31859,1.16145,0.000123875,0.000123875,0.000123875
93,2636.6,0.56614,0.45828,0.96145,0.97199,0.96802,0.98772,0.89508,0.49402,0.30726,1.15082,0.0001115,0.0001115,0.0001115
94,2672.42,0.56759,0.44175,0.96043,0.9698,0.97107,0.9878,0.90175,0.48528,0.30387,1.15295,9.9125e-05,9.9125e-05,9.9125e-05
95,2699.61,0.57102,0.45712,0.96332,0.97181,0.96851,0.988,0.90203,0.48148,0.30179,1.14701,8.675e-05,8.675e-05,8.675e-05
96,2732.48,0.57139,0.43669,0.96594,0.96874,0.96913,0.98759,0.90375,0.47347,0.30266,1.14169,7.4375e-05,7.4375e-05,7.4375e-05
97,2762.6,0.56824,0.43165,0.97848,0.96866,0.96932,0.98834,0.90158,0.4748,0.30328,1.14122,6.2e-05,6.2e-05,6.2e-05
98,2792.95,0.58405,0.45417,0.97661,0.96675,0.96919,0.98826,0.90217,0.47831,0.30373,1.14185,4.9625e-05,4.9625e-05,4.9625e-05
99,2828.44,0.54045,0.44104,0.95136,0.96842,0.96998,0.98846,0.89968,0.48181,0.30515,1.14463,3.725e-05,3.725e-05,3.725e-05
100,2858.45,0.54128,0.4081,0.95684,0.96876,0.96792,0.98873,0.90094,0.48093,0.30736,1.1442,2.4875e-05,2.4875e-05,2.4875e-05
